author_bin,early_n,early_R10,early_R5,late_n,late_R10,late_R5,late_pub_share
<1,105,0.14285714285714285,0.29523809523809524,520,0.09038461538461538,0.17115384615384616,0.1576923076923077
1-5,372,0.13172043010752688,0.32526881720430106,1187,0.09941027801179445,0.2401010951979781,0.16175231676495366
5-20,587,0.4804088586030664,0.7546848381601363,1158,0.3290155440414508,0.6044905008635578,0.42573402417962003
>=20,313,0.8210862619808307,0.9233226837060703,530,0.6754716981132075,0.8207547169811321,0.4490566037735849
