window,metric,treated_R,treated_articles,control_R,control_articles,ratio
before(k0-3..k0-1),R5,0.30269607843137253,7344,0.08324018317527855,166398,3.636417735818607
after(k0+1..k0+3),R5,0.4659338142677201,8733,0.1930940516186907,139195,2.412988957255997
after(k0+1..k0+3),R10,0.24218481621435933,8733,0.07791293217974687,139195,3.108403309166103
