quarter,ctrl_n,ctrl_R10,ctrl_R5,ctrl_new_n,ctrl_new_R5,tgt_n,tgt_R10,tgt_R5
2024Q1,583,0.19382504288164665,0.3653516295025729,52,0.057692307692307696,63,0.5238095238095238,0.7301587301587301
2024Q2,891,0.22334455667789002,0.3939393939393939,109,0.11009174311926606,186,0.43548387096774194,0.6827956989247311
2024Q3,1389,0.26277897768178543,0.43052555795536357,184,0.09782608695652174,213,0.39906103286384975,0.6291079812206573
2024Q4,1786,0.2989921612541993,0.5016797312430011,217,0.21658986175115208,318,0.4088050314465409,0.6289308176100629
2025Q1,1780,0.23370786516853934,0.42696629213483145,174,0.1896551724137931,1069,0.47427502338634236,0.6697848456501403
2025Q2,2014,0.21847070506454816,0.4116186693147964,225,0.21333333333333335,1910,0.3240837696335079,0.5743455497382199
2025Q3,1817,0.17226197028068244,0.3037974683544304,257,0.1245136186770428,1537,0.24528301886792453,0.4567338972023422
2025Q4,4053,0.1695040710584752,0.3126079447322971,1038,0.08574181117533719,1581,0.2808349146110057,0.44465528146742567
2026Q1,5555,0.1225922592259226,0.23672367236723674,1723,0.0661636680208938,2625,0.20952380952380953,0.3504761904761905
2026Q2,6164,0.08014276443867618,0.1628812459441921,2060,0.053883495145631066,3720,0.11424731182795698,0.21854838709677418
2026Q3,4754,0.04774926377787127,0.1091712242322255,2301,0.029117774880486745,2842,0.06368754398311048,0.13687543983110487
