kind,treated_authors,treated_articles,treated_R,control_articles,control_R,ratio,cells
R10_stratified,3260,8733,0.24218481621435933,139195,0.07791293217974687,3.108403309166103,532
R10_crude,3260,8733,0.24218481621435933,172735,0.056291885370723924,4.3023042241238185,78
R5_stratified,3260,8733,0.4659338142677201,139195,0.1930940516186907,2.412988957255997,532
R10_stratified_ind,2485,6757,0.22066005623797544,124947,0.07780412815730153,2.836097022922139,501
R10_stratified_pub,775,1976,0.3157894736842105,9005,0.11981857185788072,2.6355636591861145,192
