publication,follower_bin,n,R10,R5
個人,0,102,0.0196078431372549,0.09803921568627451
個人,1-9,33,0.3333333333333333,0.45454545454545453
個人,>=10,0,,
Publication,0,17,0.35294117647058826,0.5294117647058824
Publication,1-9,47,0.5319148936170213,0.851063829787234
Publication,>=10,0,,
